seq	ts	stage	label	rss_kb	pss_kb	private_clean_kb	private_dirty_kb	shared_clean_kb	shared_dirty_kb	anonymous_kb	file_kb	swap_kb	smaps_file	extra
59	1781901168.074507650	I	decode_layer_done	5646724	5642766	4518536	1123908	4280	0	1123908	0	0	059_I_decode_layer_done.smaps_rollup	layer=0 subgraph=1
60	1781901168.188195651	I	decode_layer_done	5646724	5642767	4518536	1123908	4280	0	1123908	0	0	060_I_decode_layer_done.smaps_rollup	layer=4 subgraph=5
61	1781901168.294788027	I	decode_layer_done	5646724	5642767	4518536	1123908	4280	0	1123908	0	0	061_I_decode_layer_done.smaps_rollup	layer=8 subgraph=9
62	1781901168.352167998	I	decode_layer_done	5646724	5642767	4518536	1123908	4280	0	1123908	0	0	062_I_decode_layer_done.smaps_rollup	layer=12 subgraph=13
63	1781901168.419834349	I	decode_layer_done	5646724	5642766	4518536	1123908	4280	0	1123908	0	0	063_I_decode_layer_done.smaps_rollup	layer=16 subgraph=17
64	1781901168.511781753	I	decode_layer_done	5646788	5642834	4518600	1123908	4280	0	1123908	0	0	064_I_decode_layer_done.smaps_rollup	layer=20 subgraph=21
65	1781901168.589038903	I	decode_layer_done	5646788	5642830	4518600	1123908	4280	0	1123908	0	0	065_I_decode_layer_done.smaps_rollup	layer=24 subgraph=25
66	1781901168.681610818	I	decode_layer_done	5646788	5642833	4518600	1123908	4280	0	1123908	0	0	066_I_decode_layer_done.smaps_rollup	layer=28 subgraph=29
67	1781901168.737926057	J	decode_token_done	5646788	5642834	4518600	1123908	4280	0	1123908	0	0	067_J_decode_token_done.smaps_rollup	subgraphs=33
68	1781901168.795864927	C	subgraph_split_done	5646788	5642832	4518600	1123908	4280	0	1123908	0	0	068_C_subgraph_split_done.smaps_rollup	mode=decode subgraphs=33 group_layers=1
69	1781901168.896375238	H	before_first_decode_token	5646788	5642831	4518600	1123908	4280	0	1123908	0	0	069_H_before_first_decode_token.smaps_rollup	subgraphs=33
70	1781901168.952370032	I	decode_layer_done	5646852	5642895	4518664	1123908	4280	0	1123908	0	0	070_I_decode_layer_done.smaps_rollup	layer=0 subgraph=1
71	1781901169.074436890	I	decode_layer_done	5646852	5642895	4518664	1123908	4280	0	1123908	0	0	071_I_decode_layer_done.smaps_rollup	layer=4 subgraph=5
72	1781901169.195714234	I	decode_layer_done	5646852	5642898	4518664	1123908	4280	0	1123908	0	0	072_I_decode_layer_done.smaps_rollup	layer=8 subgraph=9
73	1781901169.257694385	I	decode_layer_done	5646852	5642895	4518664	1123908	4280	0	1123908	0	0	073_I_decode_layer_done.smaps_rollup	layer=12 subgraph=13
74	1781901169.365393891	I	decode_layer_done	5646852	5642897	4518664	1123908	4280	0	1123908	0	0	074_I_decode_layer_done.smaps_rollup	layer=16 subgraph=17
75	1781901169.448893818	I	decode_layer_done	5646852	5642896	4518664	1123908	4280	0	1123908	0	0	075_I_decode_layer_done.smaps_rollup	layer=20 subgraph=21
76	1781901169.530340780	I	decode_layer_done	5646852	5642897	4518664	1123908	4280	0	1123908	0	0	076_I_decode_layer_done.smaps_rollup	layer=24 subgraph=25
77	1781901169.592239853	I	decode_layer_done	5646852	5642898	4518664	1123908	4280	0	1123908	0	0	077_I_decode_layer_done.smaps_rollup	layer=28 subgraph=29
78	1781901169.670066017	J	decode_token_done	5646852	5642893	4518664	1123908	4280	0	1123908	0	0	078_J_decode_token_done.smaps_rollup	subgraphs=33
79	1781901169.753995940	C	subgraph_split_done	5646852	5642898	4518664	1123908	4280	0	1123908	0	0	079_C_subgraph_split_done.smaps_rollup	mode=decode subgraphs=33 group_layers=1
80	1781901169.812457417	H	before_first_decode_token	5646852	5642892	4518664	1123908	4280	0	1123908	0	0	080_H_before_first_decode_token.smaps_rollup	subgraphs=33
81	1781901169.869131550	I	decode_layer_done	5646852	5642897	4518664	1123908	4280	0	1123908	0	0	081_I_decode_layer_done.smaps_rollup	layer=0 subgraph=1
82	1781901169.949449025	I	decode_layer_done	5646852	5642897	4518664	1123908	4280	0	1123908	0	0	082_I_decode_layer_done.smaps_rollup	layer=4 subgraph=5
83	1781901170.068993339	I	decode_layer_done	5646852	5642898	4518664	1123908	4280	0	1123908	0	0	083_I_decode_layer_done.smaps_rollup	layer=8 subgraph=9
84	1781901170.154665596	I	decode_layer_done	5646852	5642897	4518664	1123908	4280	0	1123908	0	0	084_I_decode_layer_done.smaps_rollup	layer=12 subgraph=13
85	1781901170.223800443	I	decode_layer_done	5646852	5642895	4518664	1123908	4280	0	1123908	0	0	085_I_decode_layer_done.smaps_rollup	layer=16 subgraph=17
86	1781901170.280135277	I	decode_layer_done	5646852	5642894	4518664	1123908	4280	0	1123908	0	0	086_I_decode_layer_done.smaps_rollup	layer=20 subgraph=21
87	1781901170.371815613	I	decode_layer_done	5646852	5642897	4518664	1123908	4280	0	1123908	0	0	087_I_decode_layer_done.smaps_rollup	layer=24 subgraph=25
88	1781901170.437219445	I	decode_layer_done	5646916	5642961	4518728	1123908	4280	0	1123908	0	0	088_I_decode_layer_done.smaps_rollup	layer=28 subgraph=29
89	1781901170.557964702	J	decode_token_done	5646916	5642962	4518728	1123908	4280	0	1123908	0	0	089_J_decode_token_done.smaps_rollup	subgraphs=33
90	1781901170.616578105	C	subgraph_split_done	5646916	5642957	4518728	1123908	4280	0	1123908	0	0	090_C_subgraph_split_done.smaps_rollup	mode=decode subgraphs=33 group_layers=1
91	1781901170.705879937	H	before_first_decode_token	5646916	5642957	4518728	1123908	4280	0	1123908	0	0	091_H_before_first_decode_token.smaps_rollup	subgraphs=33
92	1781901170.756788469	I	decode_layer_done	5646916	5642956	4518728	1123908	4280	0	1123908	0	0	092_I_decode_layer_done.smaps_rollup	layer=0 subgraph=1
93	1781901170.807761488	I	decode_layer_done	5646916	5642962	4518728	1123908	4280	0	1123908	0	0	093_I_decode_layer_done.smaps_rollup	layer=4 subgraph=5
94	1781901170.861681484	I	decode_layer_done	5646916	5642958	4518728	1123908	4280	0	1123908	0	0	094_I_decode_layer_done.smaps_rollup	layer=8 subgraph=9
95	1781901170.912331393	I	decode_layer_done	5646916	5642960	4518728	1123908	4280	0	1123908	0	0	095_I_decode_layer_done.smaps_rollup	layer=12 subgraph=13
96	1781901171.022474244	I	decode_layer_done	5646916	5642962	4518728	1123908	4280	0	1123908	0	0	096_I_decode_layer_done.smaps_rollup	layer=16 subgraph=17
97	1781901171.119436357	I	decode_layer_done	5646980	5643025	4518792	1123908	4280	0	1123908	0	0	097_I_decode_layer_done.smaps_rollup	layer=20 subgraph=21
98	1781901171.198924567	I	decode_layer_done	5646980	5643026	4518792	1123908	4280	0	1123908	0	0	098_I_decode_layer_done.smaps_rollup	layer=24 subgraph=25
99	1781901171.300670978	I	decode_layer_done	5646980	5643025	4518792	1123908	4280	0	1123908	0	0	099_I_decode_layer_done.smaps_rollup	layer=28 subgraph=29
100	1781901171.425198887	J	decode_token_done	5646980	5643023	4518792	1123908	4280	0	1123908	0	0	100_J_decode_token_done.smaps_rollup	subgraphs=33
101	1781901171.543683249	C	subgraph_split_done	5646980	5643026	4518792	1123908	4280	0	1123908	0	0	101_C_subgraph_split_done.smaps_rollup	mode=decode subgraphs=33 group_layers=1
102	1781901171.623918263	H	before_first_decode_token	5647044	5643089	4518856	1123908	4280	0	1123908	0	0	102_H_before_first_decode_token.smaps_rollup	subgraphs=33
103	1781901171.786788375	I	decode_layer_done	5647044	5643090	4518856	1123908	4280	0	1123908	0	0	103_I_decode_layer_done.smaps_rollup	layer=0 subgraph=1
104	1781901171.850584305	I	decode_layer_done	5647044	5643090	4518856	1123908	4280	0	1123908	0	0	104_I_decode_layer_done.smaps_rollup	layer=4 subgraph=5
105	1781901171.922346669	I	decode_layer_done	5647044	5643089	4518856	1123908	4280	0	1123908	0	0	105_I_decode_layer_done.smaps_rollup	layer=8 subgraph=9
106	1781901172.013120161	I	decode_layer_done	5647044	5643087	4518856	1123908	4280	0	1123908	0	0	106_I_decode_layer_done.smaps_rollup	layer=12 subgraph=13
107	1781901172.071535828	I	decode_layer_done	5647044	5643090	4518856	1123908	4280	0	1123908	0	0	107_I_decode_layer_done.smaps_rollup	layer=16 subgraph=17
108	1781901172.144515241	I	decode_layer_done	5647044	5643086	4518856	1123908	4280	0	1123908	0	0	108_I_decode_layer_done.smaps_rollup	layer=20 subgraph=21
109	1781901172.201522721	I	decode_layer_done	5647112	5643156	4518920	1123912	4280	0	1123912	0	0	109_I_decode_layer_done.smaps_rollup	layer=24 subgraph=25
110	1781901172.313080254	I	decode_layer_done	5647112	5643157	4518920	1123912	4280	0	1123912	0	0	110_I_decode_layer_done.smaps_rollup	layer=28 subgraph=29
111	1781901172.379590911	J	decode_token_done	5647112	5643156	4518920	1123912	4280	0	1123912	0	0	111_J_decode_token_done.smaps_rollup	subgraphs=33
112	1781901172.451702151	C	subgraph_split_done	5647112	5643158	4518920	1123912	4280	0	1123912	0	0	112_C_subgraph_split_done.smaps_rollup	mode=decode subgraphs=33 group_layers=1
113	1781901172.515890647	H	before_first_decode_token	5647112	5643152	4518920	1123912	4280	0	1123912	0	0	113_H_before_first_decode_token.smaps_rollup	subgraphs=33
114	1781901172.635421254	I	decode_layer_done	5647112	5643158	4518920	1123912	4280	0	1123912	0	0	114_I_decode_layer_done.smaps_rollup	layer=0 subgraph=1
115	1781901172.747648185	I	decode_layer_done	5647112	5643155	4518920	1123912	4280	0	1123912	0	0	115_I_decode_layer_done.smaps_rollup	layer=4 subgraph=5
116	1781901172.809215239	I	decode_layer_done	5647176	5643219	4518984	1123912	4280	0	1123912	0	0	116_I_decode_layer_done.smaps_rollup	layer=8 subgraph=9
117	1781901172.911470199	I	decode_layer_done	5647176	5643216	4518984	1123912	4280	0	1123912	0	0	117_I_decode_layer_done.smaps_rollup	layer=12 subgraph=13
118	1781901173.030308432	I	decode_layer_done	5647176	5643222	4518984	1123912	4280	0	1123912	0	0	118_I_decode_layer_done.smaps_rollup	layer=16 subgraph=17
119	1781901173.101637803	I	decode_layer_done	5647176	5643222	4518984	1123912	4280	0	1123912	0	0	119_I_decode_layer_done.smaps_rollup	layer=20 subgraph=21
120	1781901173.206430262	I	decode_layer_done	5647176	5643218	4518984	1123912	4280	0	1123912	0	0	120_I_decode_layer_done.smaps_rollup	layer=24 subgraph=25
121	1781901173.290149956	I	decode_layer_done	5647176	5643222	4518984	1123912	4280	0	1123912	0	0	121_I_decode_layer_done.smaps_rollup	layer=28 subgraph=29
122	1781901173.359972230	J	decode_token_done	5647240	5643284	4519048	1123912	4280	0	1123912	0	0	122_J_decode_token_done.smaps_rollup	subgraphs=33
123	1781901173.445041432	C	subgraph_split_done	5647240	5643283	4519048	1123912	4280	0	1123912	0	0	123_C_subgraph_split_done.smaps_rollup	mode=decode subgraphs=33 group_layers=1
124	1781901173.523391634	H	before_first_decode_token	5647240	5643283	4519048	1123912	4280	0	1123912	0	0	124_H_before_first_decode_token.smaps_rollup	subgraphs=33
125	1781901173.575144345	I	decode_layer_done	5647240	5643286	4519048	1123912	4280	0	1123912	0	0	125_I_decode_layer_done.smaps_rollup	layer=0 subgraph=1
126	1781901173.630868388	I	decode_layer_done	5647240	5643283	4519048	1123912	4280	0	1123912	0	0	126_I_decode_layer_done.smaps_rollup	layer=4 subgraph=5
127	1781901173.716381644	I	decode_layer_done	5647240	5643283	4519048	1123912	4280	0	1123912	0	0	127_I_decode_layer_done.smaps_rollup	layer=8 subgraph=9
128	1781901173.824913417	I	decode_layer_done	5647240	5643285	4519048	1123912	4280	0	1123912	0	0	128_I_decode_layer_done.smaps_rollup	layer=12 subgraph=13
129	1781901173.898280395	I	decode_layer_done	5647240	5643286	4519048	1123912	4280	0	1123912	0	0	129_I_decode_layer_done.smaps_rollup	layer=16 subgraph=17
130	1781901173.994292416	I	decode_layer_done	5647240	5643282	4519048	1123912	4280	0	1123912	0	0	130_I_decode_layer_done.smaps_rollup	layer=20 subgraph=21
131	1781901174.088290029	I	decode_layer_done	5647240	5643282	4519048	1123912	4280	0	1123912	0	0	131_I_decode_layer_done.smaps_rollup	layer=24 subgraph=25
132	1781901174.209869068	I	decode_layer_done	5647240	5643286	4519048	1123912	4280	0	1123912	0	0	132_I_decode_layer_done.smaps_rollup	layer=28 subgraph=29
133	1781901174.310382773	J	decode_token_done	5647240	5643284	4519048	1123912	4280	0	1123912	0	0	133_J_decode_token_done.smaps_rollup	subgraphs=33
134	1781901174.374619492	C	subgraph_split_done	5647240	5643285	4519048	1123912	4280	0	1123912	0	0	134_C_subgraph_split_done.smaps_rollup	mode=decode subgraphs=33 group_layers=1
135	1781901174.444772609	H	before_first_decode_token	5647240	5643286	4519048	1123912	4280	0	1123912	0	0	135_H_before_first_decode_token.smaps_rollup	subgraphs=33
136	1781901174.584381263	I	decode_layer_done	5647304	5643349	4519112	1123912	4280	0	1123912	0	0	136_I_decode_layer_done.smaps_rollup	layer=0 subgraph=1
137	1781901174.660756747	I	decode_layer_done	5647304	5643347	4519112	1123912	4280	0	1123912	0	0	137_I_decode_layer_done.smaps_rollup	layer=4 subgraph=5
138	1781901174.766450190	I	decode_layer_done	5647304	5643344	4519112	1123912	4280	0	1123912	0	0	138_I_decode_layer_done.smaps_rollup	layer=8 subgraph=9
139	1781901174.901954182	I	decode_layer_done	5647304	5643350	4519112	1123912	4280	0	1123912	0	0	139_I_decode_layer_done.smaps_rollup	layer=12 subgraph=13
140	1781901174.964314923	I	decode_layer_done	5647304	5643350	4519112	1123912	4280	0	1123912	0	0	140_I_decode_layer_done.smaps_rollup	layer=16 subgraph=17
141	1781901175.068859657	I	decode_layer_done	5647368	5643413	4519176	1123912	4280	0	1123912	0	0	141_I_decode_layer_done.smaps_rollup	layer=20 subgraph=21
142	1781901175.189814922	I	decode_layer_done	5647368	5643410	4519176	1123912	4280	0	1123912	0	0	142_I_decode_layer_done.smaps_rollup	layer=24 subgraph=25
143	1781901175.296835410	I	decode_layer_done	5647368	5643413	4519176	1123912	4280	0	1123912	0	0	143_I_decode_layer_done.smaps_rollup	layer=28 subgraph=29
144	1781901175.350230787	J	decode_token_done	5647368	5643409	4519176	1123912	4280	0	1123912	0	0	144_J_decode_token_done.smaps_rollup	subgraphs=33
145	1781901175.472169642	C	subgraph_split_done	5647368	5643411	4519176	1123912	4280	0	1123912	0	0	145_C_subgraph_split_done.smaps_rollup	mode=decode subgraphs=33 group_layers=1
146	1781901175.564826748	H	before_first_decode_token	5647368	5643413	4519176	1123912	4280	0	1123912	0	0	146_H_before_first_decode_token.smaps_rollup	subgraphs=33
147	1781901175.681193860	I	decode_layer_done	5647368	5643412	4519176	1123912	4280	0	1123912	0	0	147_I_decode_layer_done.smaps_rollup	layer=0 subgraph=1
148	1781901175.798729711	I	decode_layer_done	5647368	5643414	4519176	1123912	4280	0	1123912	0	0	148_I_decode_layer_done.smaps_rollup	layer=4 subgraph=5
149	1781901175.875866778	I	decode_layer_done	5647368	5643414	4519176	1123912	4280	0	1123912	0	0	149_I_decode_layer_done.smaps_rollup	layer=8 subgraph=9
150	1781901176.008401002	I	decode_layer_done	5647368	5643408	4519176	1123912	4280	0	1123912	0	0	150_I_decode_layer_done.smaps_rollup	layer=12 subgraph=13
151	1781901176.080947397	I	decode_layer_done	5647368	5643408	4519176	1123912	4280	0	1123912	0	0	151_I_decode_layer_done.smaps_rollup	layer=16 subgraph=17
152	1781901176.155030948	I	decode_layer_done	5647368	5643414	4519176	1123912	4280	0	1123912	0	0	152_I_decode_layer_done.smaps_rollup	layer=20 subgraph=21
153	1781901176.221843736	I	decode_layer_done	5647368	5643412	4519176	1123912	4280	0	1123912	0	0	153_I_decode_layer_done.smaps_rollup	layer=24 subgraph=25
154	1781901176.290095832	I	decode_layer_done	5647368	5643412	4519176	1123912	4280	0	1123912	0	0	154_I_decode_layer_done.smaps_rollup	layer=28 subgraph=29
155	1781901176.360723888	J	decode_token_done	5647368	5643412	4519176	1123912	4280	0	1123912	0	0	155_J_decode_token_done.smaps_rollup	subgraphs=33
156	1781901176.485674075	C	subgraph_split_done	5647368	5643412	4519176	1123912	4280	0	1123912	0	0	156_C_subgraph_split_done.smaps_rollup	mode=decode subgraphs=33 group_layers=1
157	1781901176.617929302	H	before_first_decode_token	5647368	5643414	4519176	1123912	4280	0	1123912	0	0	157_H_before_first_decode_token.smaps_rollup	subgraphs=33
158	1781901176.699736396	I	decode_layer_done	5647368	5643412	4519176	1123912	4280	0	1123912	0	0	158_I_decode_layer_done.smaps_rollup	layer=0 subgraph=1
159	1781901176.806285022	I	decode_layer_done	5647368	5643410	4519176	1123912	4280	0	1123912	0	0	159_I_decode_layer_done.smaps_rollup	layer=4 subgraph=5
160	1781901176.912673179	I	decode_layer_done	5647368	5643413	4519176	1123912	4280	0	1123912	0	0	160_I_decode_layer_done.smaps_rollup	layer=8 subgraph=9
161	1781901177.016678343	I	decode_layer_done	5647368	5643413	4519176	1123912	4280	0	1123912	0	0	161_I_decode_layer_done.smaps_rollup	layer=12 subgraph=13
162	1781901177.105804097	I	decode_layer_done	5647368	5643413	4519176	1123912	4280	0	1123912	0	0	162_I_decode_layer_done.smaps_rollup	layer=16 subgraph=17
163	1781901177.221137287	I	decode_layer_done	5647368	5643413	4519176	1123912	4280	0	1123912	0	0	163_I_decode_layer_done.smaps_rollup	layer=20 subgraph=21
164	1781901177.364795191	I	decode_layer_done	5647368	5643413	4519176	1123912	4280	0	1123912	0	0	164_I_decode_layer_done.smaps_rollup	layer=24 subgraph=25
165	1781901177.454655043	I	decode_layer_done	5647368	5643413	4519176	1123912	4280	0	1123912	0	0	165_I_decode_layer_done.smaps_rollup	layer=28 subgraph=29
166	1781901177.568780196	J	decode_token_done	5647368	5643409	4519176	1123912	4280	0	1123912	0	0	166_J_decode_token_done.smaps_rollup	subgraphs=33
